epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.047,3.10287,2.45853,2.69641,0.67006,0.73348,0.74727,0.37667,nan,nan,nan,0.000553744,0.000553744,0.000553744
2,397.851,2.11548,1.29725,1.52045,0.74174,0.78882,0.79167,0.44166,2.01465,1.20232,1.51478,0.00108944,0.00108944,0.00108944
3,590.209,2.02897,1.2278,1.44731,0.75036,0.74379,0.77363,0.43692,2.02821,1.28213,1.49517,0.00160513,0.00160513,0.00160513
4,782.14,1.96908,1.15246,1.38782,0.75673,0.83335,0.83984,0.47695,1.94379,1.15168,1.4506,0.00157698,0.00157698,0.00157698
5,973.864,1.93176,1.11523,1.36253,0.79123,0.83738,0.85174,0.50631,1.87159,1.05578,1.3995,0.00154698,0.00154698,0.00154698
6,1165.77,1.91964,1.09532,1.35569,0.7827,0.83929,0.86233,0.51456,1.85841,1.04512,1.38876,0.00151697,0.00151697,0.00151697
7,1357.46,1.90293,1.07091,1.34099,0.79514,0.84197,0.86322,0.51914,1.87498,0.99966,1.4051,0.00148696,0.00148696,0.00148696
8,1549.01,1.87666,1.04266,1.33216,0.79639,0.82611,0.85365,0.51049,1.81733,1.06074,1.36656,0.00145696,0.00145696,0.00145696
9,1740.34,1.87501,1.04156,1.32535,0.79732,0.85667,0.87693,0.52434,1.84056,0.9828,1.38364,0.00142695,0.00142695,0.00142695
10,1931.88,1.85747,1.0257,1.31612,0.81892,0.84762,0.87642,0.53095,1.82738,0.98774,1.36914,0.00139695,0.00139695,0.00139695
11,2123.49,1.85091,1.01631,1.30738,0.81337,0.82869,0.86446,0.52441,1.8086,1.03909,1.36185,0.00136694,0.00136694,0.00136694
12,2314.79,1.84766,1.01513,1.30622,0.81362,0.85002,0.87729,0.52876,1.81847,0.98243,1.36606,0.00133693,0.00133693,0.00133693
13,2506.47,1.84523,1.01149,1.29942,0.81982,0.8416,0.8731,0.52922,1.79353,1.00934,1.34227,0.00130693,0.00130693,0.00130693
14,2698.18,1.83897,1.01222,1.28369,0.82626,0.86208,0.88687,0.53322,1.80601,0.98473,1.33436,0.00127692,0.00127692,0.00127692
15,2890.01,1.83843,1.01942,1.27933,0.81522,0.85869,0.87909,0.53633,1.80986,0.98287,1.32673,0.00124692,0.00124692,0.00124692
16,3081.58,1.833,1.00588,1.27385,0.82398,0.86179,0.88851,0.53987,1.7818,0.96964,1.31045,0.00121691,0.00121691,0.00121691
17,3273.37,1.83145,0.99749,1.27427,0.82477,0.84122,0.8792,0.53745,1.79562,0.98172,1.32433,0.0011869,0.0011869,0.0011869
18,3465.11,1.82091,0.98853,1.26585,0.83827,0.85041,0.88326,0.54473,1.77588,0.95467,1.31949,0.0011569,0.0011569,0.0011569
19,3656.85,1.81722,0.98324,1.26037,0.82851,0.86709,0.89222,0.54286,1.79157,0.94049,1.30777,0.00112689,0.00112689,0.00112689
20,3848.45,1.81462,0.98476,1.26173,0.83939,0.86306,0.89189,0.54205,1.78244,0.94824,1.3028,0.00109689,0.00109689,0.00109689
21,4040.33,1.81144,0.97825,1.25402,0.82962,0.86433,0.8925,0.54997,1.78209,0.93552,1.30461,0.00106688,0.00106688,0.00106688
22,4231.91,1.80759,0.97707,1.25034,0.83761,0.84863,0.88572,0.55018,1.75441,0.94718,1.29379,0.00103687,0.00103687,0.00103687
23,4423.47,1.80144,0.9664,1.24469,0.83245,0.85805,0.88636,0.54637,1.76819,0.94348,1.30619,0.00100687,0.00100687,0.00100687
24,4614.84,1.80531,0.96468,1.24333,0.83949,0.87098,0.89871,0.55313,1.77926,0.91513,1.30462,0.000976862,0.000976862,0.000976862
25,4806.49,1.79764,0.95737,1.23953,0.84077,0.85396,0.8905,0.55065,1.76603,0.95395,1.29222,0.000946856,0.000946856,0.000946856
26,4997.96,1.7945,0.95412,1.24143,0.84837,0.86212,0.89489,0.55365,1.76741,0.90759,1.30446,0.00091685,0.00091685,0.00091685
27,5189.54,1.79232,0.95509,1.23319,0.84139,0.8644,0.89791,0.55332,1.77474,0.91436,1.30344,0.000886844,0.000886844,0.000886844
28,5380.88,1.78889,0.95536,1.24191,0.8384,0.8676,0.89972,0.558,1.7633,0.91245,1.29595,0.000856838,0.000856838,0.000856838
29,5572.17,1.78647,0.94763,1.23957,0.84064,0.85878,0.89446,0.55743,1.74979,0.9305,1.2878,0.000826832,0.000826832,0.000826832
30,5763.3,1.78171,0.94213,1.22923,0.83939,0.86589,0.89788,0.55686,1.75373,0.91145,1.29141,0.000796826,0.000796826,0.000796826
31,5954.29,1.77344,0.93541,1.22801,0.84445,0.86717,0.89842,0.56036,1.7439,0.90393,1.28514,0.00076682,0.00076682,0.00076682
32,6145.48,1.77043,0.93217,1.2229,0.84269,0.86553,0.89773,0.56041,1.73824,0.91182,1.28355,0.000736814,0.000736814,0.000736814
33,6336.51,1.77512,0.93034,1.22745,0.84363,0.86807,0.90031,0.55957,1.75058,0.90524,1.28217,0.000706808,0.000706808,0.000706808
34,6527.67,1.77029,0.93289,1.22747,0.84244,0.8737,0.90224,0.55822,1.75364,0.89762,1.28292,0.000676802,0.000676802,0.000676802
35,6718.91,1.76854,0.92797,1.22445,0.83856,0.86913,0.90085,0.55922,1.75476,0.89806,1.28448,0.000646796,0.000646796,0.000646796
36,6910.15,1.75979,0.92117,1.21934,0.83852,0.88049,0.90378,0.56178,1.75525,0.89392,1.28573,0.00061679,0.00061679,0.00061679
37,7101.41,1.75947,0.92362,1.22137,0.84545,0.86668,0.89989,0.56268,1.74212,0.89387,1.28346,0.000586784,0.000586784,0.000586784
38,7292.8,1.75777,0.91931,1.21739,0.84169,0.87277,0.90142,0.56309,1.74283,0.8897,1.27848,0.000556778,0.000556778,0.000556778
39,7483.93,1.75786,0.91693,1.22184,0.84756,0.87428,0.90412,0.56657,1.74367,0.87748,1.27333,0.000526772,0.000526772,0.000526772
40,7675.08,1.76011,0.90983,1.21704,0.84561,0.87314,0.90353,0.56635,1.74136,0.87725,1.27359,0.000496766,0.000496766,0.000496766
41,7866.23,1.77611,0.91296,1.2681,0.84948,0.87201,0.9054,0.56726,1.73354,0.88874,1.27317,0.00046676,0.00046676,0.00046676
42,8056.53,1.76391,0.9029,1.25876,0.84757,0.87735,0.90321,0.56706,1.74617,0.87029,1.28034,0.000436754,0.000436754,0.000436754
43,8246.71,1.75838,0.89507,1.25624,0.85191,0.87128,0.90493,0.57134,1.73116,0.88252,1.27344,0.000406748,0.000406748,0.000406748
44,8436.84,1.75547,0.88898,1.25548,0.85302,0.86857,0.90434,0.57127,1.72363,0.88928,1.27215,0.000376742,0.000376742,0.000376742
45,8626.96,1.75165,0.88855,1.25374,0.85397,0.8712,0.90398,0.56999,1.73205,0.87109,1.27322,0.000346736,0.000346736,0.000346736
46,8817.11,1.7562,0.89056,1.25536,0.85262,0.88101,0.91172,0.57238,1.72881,0.86351,1.26844,0.00031673,0.00031673,0.00031673
47,9007.3,1.74936,0.88246,1.25398,0.85729,0.87587,0.9107,0.57396,1.72992,0.86331,1.2666,0.000286724,0.000286724,0.000286724
48,9197.53,1.74412,0.87417,1.25271,0.85851,0.86729,0.90583,0.5742,1.72471,0.87598,1.26845,0.000256718,0.000256718,0.000256718
49,9387.67,1.74278,0.87775,1.24936,0.85519,0.87381,0.90728,0.57651,1.723,0.8596,1.26777,0.000226712,0.000226712,0.000226712
50,9577.71,1.7382,0.87045,1.24837,0.86224,0.87223,0.90951,0.57778,1.72266,0.86055,1.26895,0.000196706,0.000196706,0.000196706
